manager,player,pos,nfl,age,draft_pick,draft_round,pre_ecr,ros_ovr,ros_pos,ros_delta,wk3_rank,pts_w1,pts_w2,ep_w1,ep_w2,snap_w1,snap_w2,tgt_car_w1,tgt_car_w2,inj,inj_type,practice,name_value,draft_value,current_value,ppg,ep2,perceived,flags
Kdouh,Justin Jefferson,WR,MIN,23.0,11.0,2.0,9.36,10.5,5.5,3.0,4.54,29.2,8.5,17.7,,0.92,1.0,"(9, 0)","(6, 0)",,,,81.2,78.3,79.2,18.85,17.7,77.2,
Kdouh,Malik Nabers,WR,NYG,23.0,30.0,3.0,24.54,24.83,11.5,3.0,14.53,12.9,1.1,15.6,,0.52,0.74,"(9, 0)","(4, 0)",,,,58.0,51.3,57.6,7.0,15.6,51.6,BUY-LOW USAGE>OUTPUT
Kdouh,Travis Etienne Jr.,RB,NO,27.0,31.0,4.0,47.64,51.83,18.2,,22.44,14.8,5.1,18.4,,0.59,0.54,"(9, 9)","(2, 8)",,,,34.7,50.2,31.6,9.95,18.4,35.6,USAGE>OUTPUT
Kdouh,Mike Evans,WR,SF,33.0,70.0,7.0,56.16,51.0,25.5,,15.84,16.9,8.4,13.7,,0.75,0.54,"(7, 0)","(3, 0)",,,,28.7,21.1,32.2,12.649999999999999,13.7,31.0,AGE
Kdouh,Tyler Warren,TE,IND,24.0,51.0,6.0,53.13,73.0,4.0,,4.01,10.3,14.4,7.6,,0.93,0.89,"(5, 0)","(7, 1)",,,,30.7,32.2,19.7,12.350000000000001,7.6,28.1,
Kdouh,Quinshon Judkins,RB,CLE,23.0,50.0,5.0,62.03,68.33,24.0,,26.47,7.0,9.8,8.8,,0.65,0.67,"(2, 12)","(5, 12)",,,,25.2,32.9,21.9,8.4,8.8,25.5,
Kdouh,Dak Prescott,QB,DAL,33.0,130.0,13.0,78.25,90.67,11.0,,5.28,18.4,37.8,16.0,,1.0,1.0,"(0, 2)","(0, 4)",,,,17.6,5.6,13.3,28.099999999999998,16.0,25.5,SELL-HIGH OUTPUT>USAGE
Kdouh,Patrick Mahomes,QB,KC,31.0,,,101.49,103.17,14.2,,12.85,25.7,37.0,15.9,,1.0,1.0,"(0, 7)","(0, 2)",,,,10.5,5.0,10.1,31.35,15.9,22.9,SELL-HIGH OUTPUT>USAGE
Kdouh,Jalen Coker,WR,CAR,25.0,150.0,15.0,124.68,82.67,42.5,,28.51,33.8,14.6,16.7,,0.84,0.76,"(9, 0)","(9, 0)",,,,6.3,3.6,15.9,24.2,16.7,20.9,SELL-HIGH OUTPUT>USAGE NAME<CURRENT
Kdouh,Matthew Golden,WR,GB,23.0,90.0,9.0,128.79,85.83,44.83,9.0,34.88,15.5,9.8,22.0,,0.82,0.86,"(12, 0)","(6, 0)",,,,5.7,13.5,14.8,12.65,22.0,16.0,USAGE>OUTPUT RISING NAME<CURRENT
Kdouh,Josh Jacobs,RB,GB,28.0,71.0,8.0,46.94,164.33,40.4,-4.0,107.6,,,,,,,,,,,,35.2,20.6,2.6,,,14.7,AGE NAME>CURRENT
Kdouh,Aaron Jones Sr.,RB,MIN,32.0,91.0,10.0,115.78,155.33,39.2,,23.28,10.0,10.5,9.6,,0.46,0.81,"(1, 12)","(0, 23)",,,,7.6,13.2,3.2,10.25,9.6,10.7,AGE NAME>CURRENT
Kdouh,Brian Robinson Jr.,RB,ATL,27.0,111.0,12.0,177.08,230.5,55.2,,53.9,3.1,8.7,4.0,,0.25,0.48,"(0, 9)","(2, 11)",listed,Ankle,Full Participation in Practice,2.0,8.5,0.6,5.8999999999999995,4.0,5.1,NAME>CURRENT
Kdouh,Green Bay Packers,DST,GB,,131.0,14.0,204.15,210.17,12.86,,,,,,,,,,,,,,1.1,5.4,0.9,,,1.5,
Kdouh,Tampa Bay Buccaneers,DST,TB,,,,271.14,273.67,18.71,,,,,,,,,,,,,,0.2,5.0,0.2,,,0.9,
Moe,Jaxon Smith-Njigba,WR,SEA,24.0,5.0,1.0,4.67,6.67,3.17,1.0,3.73,26.2,42.5,18.6,,0.9,0.67,"(11, 0)","(11, 0)",,,,90.1,89.5,86.2,34.35,18.6,89.9,OUTPUT>USAGE
Moe,De'Von Achane,RB,MIA,25.0,16.0,2.0,20.99,19.0,10.2,-3.0,10.99,10.6,12.3,11.6,,0.86,0.76,"(5, 11)","(6, 20)",,,,62.7,70.1,65.6,11.45,11.6,61.3,
Moe,Jeremiyah Love,RB,ARI,21.0,25.0,3.0,41.44,38.83,15.2,,22.09,13.0,7.5,13.2,,0.43,0.4,"(4, 11)","(3, 9)",,,,39.8,57.4,42.2,10.25,13.2,42.6,
Moe,Emeka Egbuka,WR,TB,24.0,36.0,4.0,40.83,36.17,18.17,,20.81,11.3,10.3,11.2,,0.86,0.86,"(6, 0)","(5, 1)",,,,40.4,44.9,44.8,10.8,11.2,42.2,
Moe,Christian Watson,WR,GB,27.0,76.0,8.0,57.65,42.17,21.0,,13.97,32.7,14.1,16.6,,0.76,0.9,"(8, 0)","(11, 0)",,,,27.8,18.5,39.2,23.400000000000002,16.6,38.5,OUTPUT>USAGE
Moe,Jalen Hurts,QB,PHI,28.0,105.0,11.0,56.5,42.5,3.6,,4.13,30.7,20.2,14.6,,1.0,1.0,"(0, 7)","(0, 5)",,,,28.5,9.7,38.9,25.45,14.6,38.3,OUTPUT>USAGE
Moe,Cam Skattebo,RB,NYG,24.0,45.0,5.0,57.42,55.83,20.8,,19.5,14.1,9.5,11.8,,0.61,0.59,"(0, 18)","(4, 12)",,,,27.9,36.8,28.9,11.8,11.8,31.4,
Moe,Rome Odunze,WR,CHI,24.0,56.0,6.0,57.49,63.17,30.83,,31.68,7.2,7.3,6.3,,0.48,0.84,"(3, 0)","(4, 0)",,,,27.9,28.8,24.6,7.25,6.3,26.2,
Moe,Jaxson Dart,QB,NYG,23.0,145.0,15.0,97.46,93.33,11.2,,11.81,32.6,0.8,20.0,,1.0,0.12,"(0, 11)","(0, 0)",,,,11.5,4.0,12.6,16.7,20.0,17.4,SELL-HIGH
Moe,Courtland Sutton,WR,DEN,31.0,85.0,9.0,83.3,77.17,40.17,,38.64,3.1,5.5,7.3,,0.76,0.73,"(5, 0)","(4, 0)",,,,15.7,15.1,18.0,4.3,7.3,16.3,AGE
Moe,George Kittle,TE,SF,33.0,65.0,7.0,98.93,103.33,9.0,2.0,11.67,3.2,18.0,11.2,,0.46,0.48,"(5, 0)","(4, 0)",,,,11.1,23.6,10.1,10.6,11.2,16.2,AGE
Moe,Makai Lemon,WR,PHI,22.0,96.0,10.0,109.7,79.5,41.0,-4.0,62.31,2.5,1.9,5.2,,0.64,0.63,"(4, 0)","(1, 1)",,,,8.7,11.8,17.1,2.2,5.2,12.3,NAME<CURRENT
Moe,Xavier Worthy,WR,KC,23.0,116.0,12.0,129.35,111.5,55.0,,51.87,4.8,13.5,9.4,,0.77,0.86,"(6, 0)","(7, 0)",,,,5.6,7.6,8.4,9.15,9.4,10.8,
Moe,Jacory Croskey-Merritt,RB,WAS,25.0,136.0,14.0,113.67,146.17,37.6,,30.51,12.6,5.8,11.0,,0.49,0.37,"(1, 16)","(1, 12)",,,,8.0,4.9,3.9,9.2,11.0,9.3,NAME>CURRENT
Moe,Pittsburgh Steelers,DST,PIT,,125.0,13.0,186.35,188.0,8.57,,,,,,,,,,,,,,1.6,6.2,1.5,,,2.0,
