player,pos,mean,sd,exp_missed,avail,vor,score
RJ Harvey,RB,10.724644702062566,7.655971333464065,3.63,8.034020604750985,0.4746206047509851,0.4746206047509851
Jaylen Warren,RB,11.543761432810898,6.148411041345018,5.67,7.955009716787039,0.39560971678703893,0.39560971678703893
Terry McLaurin,WR,11.78572422936579,5.10050106471032,5.43,8.5862467400409,0.37001850045867,0.37001850045867
Bo Nix,QB,21.21748342659645,10.334106723113802,2.33,17.329691610487746,0.3444872787380504,0.3444872787380504
Rhamondre Stevenson,RB,11.45059246166319,10.405757070957414,5.87,7.823448908365761,0.2640489083657611,0.2640489083657611
Marvin Harrison Jr.,WR,11.474509187142672,7.103712217758211,5.08,8.477637375912469,0.2614091363302382,0.2614091363302382
Malik Nabers,WR,11.755087728262973,7.0530526369577835,5.68,8.477492679323769,0.261264439741538,0.261264439741538
Christian Watson,WR,12.143303546436503,7.953084656632012,6.4799999999999995,8.471740003572762,0.25551176399053155,0.25551176399053155
Justin Herbert,QB,22.11142811996193,10.017979836274378,3.65,17.20139040508803,0.21618607333833495,0.21618607333833495
Dallas Goedert,TE,10.673556656505543,7.459075648081974,4.81,7.907849769922784,0.20516120877423738,0.20516120877423738
Jake Ferguson,TE,9.861035678154517,7.0894235640557,3.11,7.798919099575734,0.09623053842718754,0.09623053842718754
Makai Lemon,WR,10.443392857142857,6.266035714285715,3.4,8.231850840336136,0.015622600753905758,0.015622600753905758
Jakobi Meyers,WR,10.4235731397685,4.352757746532651,3.4,8.21622823958223,0.0,0.0
Sam LaPorta,TE,11.303038889902918,6.454219119649135,6.83,7.7026885611485465,0.0,0.0
Matthew Stafford,QB,21.412567566907292,9.43544412745648,3.13,16.985204331749696,0.0,0.0
Jonathon Brooks,RB,10.499166666666667,5.774541666666668,4.62,7.5594,0.0,0.0
Jordan Addison,WR,10.40725423840679,6.1714737228710534,3.4,8.203365105567705,-0.012863134014525102,-0.012863134014525102
MarShawn Lloyd,RB,10.94,6.017,5.82,7.490682352941176,-0.06871764705882377,-0.06871764705882377
David Montgomery,RB,10.843561157500773,7.253829211891752,6.09,7.338539477473317,-0.2208605225266833,-0.2208605225266833
Juwan Johnson,TE,9.45817237889618,4.82457709210321,3.11,7.480301625544655,-0.22238693560389144,-0.22238693560389144
Jared Goff,QB,20.51365422943717,10.180098231353172,2.33,16.754828763278535,-0.23037556847116036,-0.23037556847116036
Brock Purdy,QB,21.87093984958112,13.195470603371616,4.13,16.705538467459462,-0.27966586429023366,-0.27966586429023366
Stefon Diggs,WR,10.324496489303357,7.621848432592437,4.21,7.892166581088066,-0.32406165849416446,-0.32406165849416446
Josh Downs,WR,10.053052895088927,4.736383993441973,3.6,7.865035500275455,-0.35119273930677597,-0.35119273930677597
Khalil Shakir,WR,9.961633283473237,5.97143198906259,3.4,7.85211094109067,-0.3641172984915606,-0.3641172984915606
Kenny Gainwell,RB,9.870209133064371,9.377915233016719,4.52,7.135580602668301,-0.42381939733169904,-0.42381939733169904
Jayden Daniels,QB,22.10466065524928,7.736631229337247,4.630000000000001,16.558991379094092,-0.42621295265560377,-0.42621295265560377
Hunter Henry,TE,9.185271448179488,7.52752791230881,3.11,7.264469095339601,-0.43821946580894533,-0.43821946580894533
Romeo Doubs,WR,9.792730827539781,7.260842467188868,3.4,7.71897606406077,-0.49725217552146095,-0.49725217552146095
KC Concepcion,WR,9.74991452991453,5.849948717948718,3.4,7.685226747109101,-0.5310014924731297,-0.5310014924731297
Mike Evans,WR,11.211150775809221,6.248428373827865,6.93,7.673043486855311,-0.54318475272692,-0.54318475272692
George Kittle,TE,10.394693144632258,8.516016994730897,6.63,7.144822905589879,-0.5578656555586674,-0.5578656555586674
J.K. Dobbins,RB,10.42672476989683,4.312372381364527,6.430000000000001,6.952172074516504,-0.607227925483496,-0.607227925483496
Dalton Kincaid,TE,9.909214102243883,7.083073078997862,5.93,7.015140689441479,-0.6875478717070678,-0.6875478717070678
Mark Andrews,TE,8.842602922457523,6.786150472491317,3.11,6.99345860543773,-0.7092299557108168,-0.7092299557108168
Bhayshul Tuten,RB,9.5730884640312,4.918110361084786,4.82,6.8363114090199275,-0.7230885909800726,-0.7230885909800726
Tony Pollard,RB,10.087070828640698,6.174467112038663,6.09,6.826573522559484,-0.7328264774405158,-0.7328264774405158
Dalton Schultz,TE,8.795829739873152,5.639161911031065,3.11,6.956466520740855,-0.7462220404076918,-0.7462220404076918
Patrick Mahomes II,QB,21.24920980955624,10.510233631514145,4.15,16.218146898764246,-0.7670574329854496,-0.7670574329854496
De'Zhaun Stribling,WR,9.422857142857143,5.653714285714286,3.4,7.427428571428573,-0.7887996681536578,-0.7887996681536578
Xavier Worthy,WR,9.372702107910145,4.524590929235822,3.6,7.332761060894407,-0.8834671786878232,-0.8834671786878232
Baker Mayfield,QB,19.553423045568245,7.850793328215496,2.33,15.97054582280677,-1.0146585089429259,-1.0146585089429259
Brenton Strange,TE,9.103293425413398,4.741180009110377,5.33,6.605242611910251,-1.0974459492382955,-1.0974459492382955
Jordan Watkins,WR,9.549117647058821,5.7294705882352925,4.88,7.11128408304498,-1.1049441565372504,-1.1049441565372504
Oronde Gadsden II,TE,8.584392360459063,7.942423763442444,4.01,6.562010513186207,-1.1406780479623393,-1.1406780479623393
Chig Okonkwo,TE,8.276029015360422,4.482670881884384,3.11,6.545365300677698,-1.1573232604708483,-1.1573232604708483
Xavier Restrepo,WR,9.349117647058822,5.609470588235293,4.68,7.017337716262975,-1.198890523319256,-1.198890523319256
Jauan Jennings,WR,9.156116844513916,5.710124675479846,4.2,7.001736410510641,-1.2144918290715898,-1.2144918290715898
