pos,cat,season,weeks_listed,out_weeks,missed_this,played_next,missed_next,same_cat_next,same_cat_out_next,dppg_next
TE,knee,2012,1,0,0,True,2.0,False,False,-2.607142857142856
WR,hip,2012,1,0,0,True,0.0,False,False,1.5062500000000014
WR,knee,2012,3,0,0,True,0.0,False,False,1.5062500000000014
WR,shoulder,2012,2,0,0,True,0.0,True,False,1.5062500000000014
WR,illness,2012,1,0,1,True,0.0,False,False,0.92075
WR,knee,2012,2,1,1,True,0.0,False,False,0.92075
WR,groin,2012,1,0,0,True,0.0,False,False,-0.8875000000000028
WR,hand,2012,3,0,0,True,0.0,False,False,-0.8875000000000028
WR,hip,2012,2,0,0,True,0.0,False,False,-0.8875000000000028
WR,knee,2012,1,0,0,True,0.0,False,False,-0.8875000000000028
WR,back,2012,1,0,2,True,8.0,False,False,-5.3535714285714295
WR,knee,2012,4,0,2,True,8.0,False,False,-5.3535714285714295
QB,hand,2012,1,0,0,True,0.0,False,False,-1.9249999999999972
WR,illness,2012,1,0,0,True,0.0,False,False,0.5187500000000007
WR,knee,2012,1,0,0,True,0.0,False,False,0.5187500000000007
WR,ankle,2012,2,0,0,False,11.0,False,False,
WR,hand,2012,2,0,0,False,11.0,False,False,
WR,quad,2012,1,0,0,False,11.0,False,False,
QB,shoulder,2012,13,4,5,False,9.0,False,False,
QB,other,2012,1,0,6,False,13.0,False,False,
QB,shoulder,2012,4,0,6,False,13.0,False,False,
QB,knee,2012,5,0,0,True,7.0,False,False,-0.24638888888888744
QB,neck,2012,1,0,0,True,7.0,False,False,-0.24638888888888744
QB,other,2012,1,0,0,True,0.0,False,False,2.3287499999999994
TE,concussion,2012,1,0,0,True,8.0,False,False,0.018749999999998934
TE,quad,2012,1,0,0,True,8.0,False,False,0.018749999999998934
TE,shoulder,2012,2,0,0,True,8.0,False,False,0.018749999999998934
WR,knee,2012,7,0,6,False,16.0,False,False,
WR,other,2012,1,1,6,False,16.0,False,False,
TE,knee,2012,1,0,0,True,2.0,False,False,-1.744642857142857
RB,ankle,2012,2,0,2,False,15.0,False,False,
RB,calf,2012,1,0,2,False,15.0,False,False,
RB,groin,2012,1,0,2,False,15.0,False,False,
WR,ankle,2012,1,0,0,True,0.0,False,False,1.2750000000000004
WR,other,2012,1,0,0,True,0.0,False,False,1.2750000000000004
WR,quad,2012,1,0,0,True,0.0,True,False,1.2750000000000004
WR,ribs,2012,1,0,0,True,0.0,False,False,1.2750000000000004
WR,back,2012,1,0,0,True,0.0,False,False,-2.6374999999999993
WR,illness,2012,1,0,0,True,0.0,False,False,-2.6374999999999993
RB,concussion,2012,4,2,4,True,1.0,False,False,-0.19833333333333503
RB,elbow,2012,1,0,4,True,1.0,False,False,-0.19833333333333503
RB,knee,2012,1,0,4,True,1.0,False,False,-0.19833333333333503
WR,ankle,2012,1,0,1,False,10.0,False,False,
WR,hamstring,2012,1,0,1,False,10.0,False,False,
WR,shoulder,2012,1,0,1,False,10.0,False,False,
RB,foot,2012,11,4,6,True,2.0,False,False,4.13857142857143
RB,hand,2012,2,0,6,True,2.0,False,False,4.13857142857143
WR,shoulder,2012,1,0,3,True,2.0,False,False,1.1170329670329684
WR,toe,2012,1,0,3,True,2.0,False,False,1.1170329670329684
WR,back,2012,1,0,1,True,6.0,False,False,1.163333333333333
RB,concussion,2012,2,0,5,False,9.0,False,False,
RB,knee,2012,2,0,5,False,9.0,False,False,
RB,shoulder,2012,1,0,5,False,9.0,False,False,
WR,concussion,2012,2,1,2,True,3.0,False,False,-1.6247252747252752
WR,hamstring,2012,1,0,2,True,3.0,False,False,-1.6247252747252752
RB,concussion,2012,1,0,2,True,0.0,False,False,1.8937499999999998
RB,shoulder,2012,9,0,2,True,0.0,True,False,1.8937499999999998
WR,hamstring,2012,2,0,1,True,3.0,False,False,0.1010256410256396
WR,shoulder,2012,1,0,1,True,3.0,True,True,0.1010256410256396
WR,back,2012,1,0,0,True,4.0,True,False,-0.384166666666669
WR,foot,2012,4,0,0,True,4.0,False,False,-0.384166666666669
WR,hamstring,2012,1,0,0,True,4.0,True,False,-0.384166666666669
WR,hand,2012,3,0,0,True,4.0,True,False,-0.384166666666669
WR,illness,2012,1,0,0,True,4.0,True,False,-0.384166666666669
WR,other,2012,1,0,7,True,3.0,False,False,-0.9264957264957268
WR,ankle,2012,2,0,7,False,16.0,False,False,
WR,groin,2012,1,0,7,False,16.0,False,False,
WR,knee,2012,1,0,5,False,16.0,False,False,
WR,ribs,2012,2,1,5,False,16.0,False,False,
WR,knee,2012,1,0,1,True,0.0,False,False,3.206666666666666
WR,other,2012,1,0,1,True,0.0,False,False,3.206666666666666
WR,hand,2012,5,3,6,True,0.0,False,False,11.13625
WR,knee,2012,3,1,6,True,0.0,False,False,11.13625
RB,illness,2012,1,0,0,True,0.0,False,False,-5.668749999999999
WR,illness,2012,1,0,8,True,0.0,False,False,5.7875
WR,knee,2012,4,2,8,True,0.0,False,False,5.7875
RB,shoulder,2012,1,0,0,True,1.0,False,False,-1.8675000000000006
WR,ankle,2012,3,1,9,True,1.0,True,False,-3.6161904761904724
WR,shoulder,2012,2,0,1,True,0.0,True,False,1.3083333333333318
WR,foot,2012,1,1,10,True,0.0,False,False,-4.067916666666668
WR,knee,2012,2,0,0,True,2.0,False,False,14.13571428571429
QB,knee,2012,3,0,1,True,3.0,True,False,-4.980512820512821
QB,other,2012,1,0,1,True,3.0,False,False,-4.980512820512821
QB,knee,2012,8,0,0,True,0.0,False,False,0.5075000000000003
RB,ankle,2012,1,1,1,True,0.0,True,False,-8.523749999999998
RB,knee,2012,4,0,1,True,0.0,False,False,-8.523749999999998
RB,other,2012,1,0,1,True,0.0,False,False,-8.523749999999998
