ecr_rank,player,pos,team_26,age,draft_year,draft_round,bye,ecr_ovr,ecr_sd,ecr_best,ecr_worst,ecr_pos,ecr_bestball,status_26,g_25,ppgA_25,ppgB_25,top6A_25,floorA_25,ptsA_25,ptsB_25,ppr_25,tgt_25,rec_25,re_yds_25,re_td_25,tgt_share_25,car_25,ru_yds_25,ru_td_25,pass_yds_25,pass_td_25,int_25,ru100_25,re100_25,p300_25,snap_pct_25,g_24,ppgA_24,ppgB_24,ppr_24,tgt_24,tgt_share_24,car_24
466,Zach Ertz,TE,FA,35.8,2013.0,2.0,,367.8,11.92,349,384,56.13,321.0,,13.0,9.838461538461539,9.876923076923077,15.083333333333334,6.1,127.9,128.4,126.39999999999999,72.0,50.0,504.0,4.0,0.20224719101123595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6646153846153846,17.0,10.435294117647059,10.435294117647059,177.4,91.0,0.18091451292246521,0.0
467,KeAndre Lambert-Smith,WR,LAC,24.9,2025.0,5.0,7.0,368.0,17.0,351,385,159.14,,ACT,10.0,1.61,1.61,2.6833333333333336,0.0,16.1,16.1,16.1,12.0,5.0,51.0,1.0,0.0380952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188,,,,,,,
468,Tanner Koziol,TE,JAX,22.6,2026.0,5.0,7.0,368.2,7.78,354,377,61.36,,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,Riley Leonard,QB,IND,24.0,2025.0,6.0,13.0,371.2,11.03,351,381,45.44,328.0,ACT,5.0,6.2,7.0,6.2,0.0,31.0,35.0,31.0,0.0,0.0,-3.0,0.0,0.0,6.0,27.0,2.0,415.0,2.0,3.0,0.0,0.0,0.0,0.394,,,,,,,
470,Jackson Hawes,TE,BUF,25.8,2025.0,5.0,7.0,372.8,11.48,357,390,64.15,305.0,ACT,13.0,4.053846153846154,4.053846153846154,6.25,2.0,52.7,52.7,52.7,19.0,16.0,187.0,3.0,0.05277777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4388235294117647,,,,,,,
471,Luke Schoonmaker,TE,DAL,28.0,2023.0,2.0,14.0,375.5,3.5,372,379,65.5,323.0,ACT,14.0,1.942857142857143,1.942857142857143,3.216666666666667,1.1500000000000001,27.200000000000003,27.200000000000003,27.2,23.0,14.0,132.0,0.0,0.04483430799220273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32941176470588235,12.0,4.758333333333334,4.758333333333334,57.1,36.0,0.07947019867549669,0.0
472,Nate Boerkircher,TE,JAX,25.0,2026.0,2.0,7.0,377.0,13.64,362,395,67.82,,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,Frank Gore Jr.,RB,BUF,24.5,,,7.0,377.5,11.5,366,389,125.5,,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,Josh Cameron,WR,JAX,23.5,2026.0,6.0,7.0,377.5,4.5,373,382,159.4,,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Jeremy Ruckert,TE,NYJ,26.1,2022.0,3.0,13.0,377.67,5.44,370,382,69.86,,ACT,14.0,3.3500000000000005,3.3500000000000005,5.25,1.7,46.900000000000006,46.900000000000006,46.9,29.0,23.0,179.0,1.0,0.07611548556430446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4717647058823529,14.0,2.0357142857142856,2.0357142857142856,28.5,28.0,0.059574468085106386,0.0
476,Jaret Patterson,RB,LAC,26.7,,,7.0,378.5,14.5,364,393,125.6,,,6.0,4.283333333333333,4.283333333333333,4.283333333333334,0.825,25.7,25.7,25.7,4.0,3.0,8.0,0.0,0.022988505747126436,41.0,159.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,,,,,,,
477,Trey Lance,QB,LAC,26.3,2021.0,1.0,7.0,378.5,10.5,368,389,50.57,,ACT,4.0,3.385,3.385,3.385,1.375,13.54,13.54,13.54,0.0,0.0,0.0,0.0,0.0,17.0,85.0,0.0,226.0,0.0,1.0,0.0,0.0,0.0,0.3775,4.0,3.185,3.185,12.74,0.0,0.0,11.0
478,Tanner Hudson,TE,CIN,31.8,,,6.0,380.67,4.5,375,386,77.83,,CUT,10.0,4.779999999999999,4.779999999999999,6.75,1.95,47.8,47.8,47.8,24.0,19.0,168.0,2.0,0.06486486486486487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14733333333333334,9.0,4.277777777777778,4.277777777777778,38.5,23.0,0.06571428571428571,1.0
479,Velus Jones Jr.,WR,SEA,29.3,2022.0,3.0,11.0,381.0,3.0,378,384,166.5,,DEV,5.0,0.64,0.64,0.64,0.0,3.2,3.2,3.2,0.0,0.0,0.0,0.0,0.0,4.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01875,2.0,1.4500000000000002,1.4500000000000002,2.9,1.0,0.0196078431372549,3.0
480,Adam Trautman,TE,DEN,29.6,2020.0,3.0,10.0,383.0,17.83,361,413,64.0,,ACT,13.0,3.5,3.5,5.916666666666667,1.5,45.5,45.5,45.5,23.0,20.0,195.0,1.0,0.05145413870246085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5729411764705883,13.0,3.369230769230769,3.369230769230769,43.8,22.0,0.052132701421800945,0.0
481,Jaydn Ott,RB,KC,23.7,,,5.0,383.5,5.5,378,389,125.4,,DEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,Lil'Jordan Humphrey,WR,DEN,28.4,,,10.0,389.5,16.5,373,406,158.0,,ACT,7.0,4.942857142857143,4.942857142857143,5.766666666666667,0.95,34.6,34.6,34.599999999999994,25.0,13.0,156.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.484,14.0,4.5928571428571425,4.5928571428571425,64.3,45.0,0.10204081632653061,0.0
