player,pos,mean,sd,exp_missed,avail,vor,score
Lew Nichols III,RB,7.83,4.306500000000001,5.89,5.3451264705882355,-2.2382735294117646,-2.2786779190085453
Theo Johnson,TE,7.046219693144889,5.823744499890084,4.21,5.344764879006079,-2.335834063088985,-2.2904347216501533
Malik Willis,QB,14.925802755682817,5.2240309644889855,2.93,11.927472378585357,-2.2238314743142915,-2.2930038410449387
Jake Tonges,TE,7.2349514944527336,6.441195541201959,5.13,5.292154225501161,-2.388444716593903,-2.312172823089478
Greg Dulcich,TE,7.353828753754733,3.9622524458247796,5.13,5.379109444290594,-2.3014894978044698,-2.3491647590689033
Tyquan Thornton,WR,7.852243761170153,5.705712182992717,4.88,5.847612118612596,-2.3499914599455076,-2.351288607245632
Odell Beckham Jr.,WR,8.068823529411766,4.84129411764706,5.45,5.873628892733565,-2.3239746858245383,-2.368492736391945
Gunnar Helm,TE,7.022875821327668,3.9886035568019715,4.21,5.327057865648252,-2.3535410764468123,-2.3998987821623863
Andrei Iosivas,WR,7.375231712222696,5.18176289178371,3.4,5.813417937869655,-2.3841856406884485,-2.411680252549023
Tyjae Spears,RB,7.464227917330582,5.551645632672282,5.89,5.0954332341542,-2.4879667658458002,-2.466113873808967
Aaron Jones Sr.,RB,8.419218646560836,4.508871726100027,8.37,5.13324713362371,-2.45015286637629,-2.4804386696680694
Tez Johnson,WR,7.2006913382305076,6.507665809313988,3.4,5.675839054840519,-2.521764523717585,-2.4829639897016453
DeMario Douglas,WR,7.2187429231174125,5.476521858503505,3.4,5.690067951163138,-2.507535627394966,-2.5202922909195506
David Njoku,TE,7.258698752631793,5.045069600384843,5.93,5.138731734583743,-2.541867207511321,-2.5354016110477513
Marvin Mims Jr.,WR,7.242287835205296,5.539425791112116,3.6,5.666025188719438,-2.531578389838666,-2.54118985673282
Jalen McMillan,WR,7.67102335372176,4.602614012233056,4.88,5.712656215183381,-2.4849473633747223,-2.5413994192128295
Devontez Walker,WR,7.499243677841028,6.469268008934904,4.88,5.584730880086318,-2.6128726984717856,-2.5759920544748
Mason Taylor,TE,6.996749338353497,5.198483506680652,5.33,5.076759005211199,-2.6038399368838654,-2.5897036451055055
Chris Rodriguez Jr.,RB,7.370896436882501,4.839859752538541,6.23,4.958011809161847,-2.6253881908381533,-2.6391245928080074
Darius Slayton,WR,7.36788826916154,4.123985056623357,4.2,5.634267499947059,-2.5633360786110444,-2.6437195822296364
Ryan Flournoy,WR,6.9150153804031,7.675005816656706,3.4,5.4506591822000905,-2.746944396358013,-2.649776861974938
Kimani Vidal,RB,6.905038639055388,9.457936566850304,5.89,4.713704318013987,-2.8696956819860135,-2.6525282432402792
Isaac TeSlaa,WR,6.998222622477504,5.6063396218962644,3.4,5.516246067129328,-2.681357511428776,-2.6876232867837224
Dontayvion Wicks,WR,7.295883511635755,7.019542318340588,4.88,5.4332873680769795,-2.764316210481124,-2.6999218510138547
C.J. Stroud,QB,15.3000384915035,6.520944615722379,4.65,11.452528812022473,-2.698775040877175,-2.703101725046152
Terrance Ferguson,TE,6.769099300408525,5.202551821418548,5.13,4.951397047092942,-2.729201895002122,-2.714862187486867
Devaughn Vele,WR,7.206024342100786,6.797977640445723,4.68,5.408757094423884,-2.7888464841342193,-2.735530358561693
Xavier Legette,WR,7.056541743621121,6.860431750955899,4.2,5.396178980416151,-2.8014245981419528,-2.7449857670439175
Jalen Nailor,WR,6.708781086334934,6.906960470509186,2.92,5.382810236329912,-2.8147933422281914,-2.756028075152492
Adonai Mitchell,WR,6.816210099838724,7.068038388878959,3.4,5.3727773728140535,-2.82482620574405,-2.758007042749862
Josh Williams,RB,7.171666666666667,3.944416666666667,6.09,4.853530882352941,-2.729869117647059,-2.7883776739105066
Pat Bryant,WR,7.533742772953966,4.136346089770412,5.68,5.433158023318566,-2.7644455552395373,-2.8442110072007765
Evan Engram,TE,6.368908547952814,3.9116066605253996,4.21,4.831004454461855,-2.849594487633209,-2.899802038162612
Jacoby Brissett,QB,14.34996279469428,8.296441710453045,3.65,11.163426938813638,-2.9878769140860104,-2.9034287435184547
